case_id,timestamp,activity,costs
10,2020-01-04 22:36:24,Clean electrodes,1
10,2020-01-05 06:25:48,Shred electrodes,1
10,2020-01-05 09:26:32,Melt down solid materials,1
10,2020-01-06 01:27:01,Collect recyclable materials,1
10,2020-01-06 05:24:47,Dispose of non-reusable materials,1
11,2020-01-03 12:00:00,Battery cell completely discharged,1
11,2020-01-04 12:36:51,Check battery cell for damage,1
11,2020-01-04 14:49:50,Check the capacity of the safety box,1
11,2020-01-04 14:55:41,Place battery cell in safety box,1
12,2020-01-03 13:07:00,Battery cell completely discharged,1
12,2020-01-04 13:16:34,Check battery cell for damage,1
12,2020-01-04 16:06:37,Open battery cell,1
12,2020-01-04 22:09:15,Collect electrolyte separately,1
12,2020-01-05 04:16:21,Clean electrodes,1
12,2020-01-05 12:17:20,Shred electrodes,1
12,2020-01-05 15:19:13,Melt down solid materials,1
12,2020-01-06 07:20:31,Collect recyclable materials,1
12,2020-01-06 11:21:29,Dispose of non-reusable materials,1
13,2020-01-03 15:58:00,Battery cell completely discharged,1
13,2020-01-04 15:56:40,Check battery cell for damage,1
13,2020-01-04 18:50:00,Open battery cell,1
13,2020-01-05 01:11:08,Collect electrolyte separately,1
13,2020-01-05 07:15:38,Clean electrodes,1
13,2020-01-05 15:13:25,Shred electrodes,1
13,2020-01-05 18:13:08,Melt down solid materials,1
13,2020-01-06 10:11:37,Collect recyclable materials,1
13,2020-01-06 14:12:34,Dispose of non-reusable materials,1
14,2020-01-03 21:47:00,Battery cell completely discharged,1
14,2020-01-04 21:41:31,Check battery cell for damage,1
14,2020-01-05 00:47:49,Open battery cell,1
14,2020-01-05 07:00:31,Collect electrolyte separately,1
14,2020-01-05 12:55:40,Clean electrodes,1
14,2020-01-05 19:20:41,Clean electrodes,1
14,2020-01-06 03:10:33,Shred electrodes,1
14,2020-01-06 06:10:18,Melt down solid materials,1
14,2020-01-06 22:09:56,Collect recyclable materials,1
14,2020-01-07 02:07:52,Dispose of non-reusable materials,1
15,2020-01-03 23:56:00,Battery cell completely discharged,1
15,2020-01-04 23:23:52,Check battery cell for damage,1
15,2020-01-05 02:35:32,Open battery cell,1
15,2020-01-05 08:43:03,Collect electrolyte separately,1
15,2020-01-05 14:46:47,Clean electrodes,1
15,2020-01-05 21:19:44,Clean electrodes,1
15,2020-01-06 05:19:39,Shred electrodes,1
15,2020-01-06 08:17:52,Melt down solid materials,1
15,2020-01-07 00:20:57,Collect recyclable materials,1
15,2020-01-07 04:20:51,Dispose of non-reusable materials,1
16,2020-01-04 08:28:00,Battery cell completely discharged,1
16,2020-01-05 08:27:03,Check battery cell for damage,1
16,2020-01-05 10:31:58,Check the capacity of the safety box,1
16,2020-01-05 10:37:55,Place battery cell in safety box,1
17,2020-01-04 16:43:00,Battery cell completely discharged,1
17,2020-01-05 17:04:07,Check battery cell for damage,1
17,2020-01-05 20:07:35,Open battery cell,1
17,2020-01-06 02:19:45,Collect electrolyte separately,1
17,2020-01-06 08:23:16,Clean electrodes,1
17,2020-01-06 16:31:27,Shred electrodes,1
17,2020-01-06 19:29:37,Melt down solid materials,1
17,2020-01-07 11:30:40,Collect recyclable materials,1
17,2020-01-07 15:29:13,Dispose of non-reusable materials,1
18,2020-01-04 17:30:00,Battery cell completely discharged,1
18,2020-01-05 17:35:43,Check battery cell for damage,1
18,2020-01-05 20:13:55,Open battery cell,1
18,2020-01-06 02:16:30,Collect electrolyte separately,1
18,2020-01-06 08:12:33,Clean electrodes,1
18,2020-01-06 14:44:21,Clean electrodes,1
18,2020-01-06 23:04:39,Shred electrodes,1
18,2020-01-07 02:03:27,Melt down solid materials,1
18,2020-01-07 18:05:53,Collect recyclable materials,1
18,2020-01-07 22:05:10,Dispose of non-reusable materials,1
19,2020-01-05 01:45:00,Battery cell completely discharged,1
19,2020-01-06 01:34:11,Check battery cell for damage,1
19,2020-01-06 03:38:07,Check the capacity of the safety box,1
19,2020-01-06 03:43:51,Place battery cell in safety box,1
20,2020-01-05 09:20:00,Battery cell completely discharged,1
20,2020-01-06 09:11:55,Check battery cell for damage,1
20,2020-01-06 12:01:05,Open battery cell,1
20,2020-01-06 18:01:26,Collect electrolyte separately,1
20,2020-01-07 00:04:34,Clean electrodes,1
20,2020-01-07 08:18:57,Shred electrodes,1
20,2020-01-07 11:17:43,Melt down solid materials,1
20,2020-01-08 03:17:03,Collect recyclable materials,1
20,2020-01-08 07:20:46,Dispose of non-reusable materials,1
21,2020-01-05 16:20:00,Battery cell completely discharged,1
21,2020-01-06 16:14:36,Check battery cell for damage,1
21,2020-01-06 19:05:27,Open battery cell,1
21,2020-01-07 01:01:24,Collect electrolyte separately,1
21,2020-01-07 07:00:54,Clean electrodes,1
21,2020-01-07 15:06:15,Shred electrodes,1
21,2020-01-07 18:08:20,Melt down solid materials,1
21,2020-01-08 10:06:06,Collect recyclable materials,1
21,2020-01-08 14:07:14,Dispose of non-reusable materials,1
22,2020-01-05 23:42:00,Battery cell completely discharged,1
22,2020-01-06 23:58:00,Check battery cell for damage,1
22,2020-01-07 02:55:06,Open battery cell,1
22,2020-01-07 09:01:29,Collect electrolyte separately,1
22,2020-01-07 14:57:48,Clean electrodes,1
22,2020-01-07 21:25:34,Clean electrodes,1
22,2020-01-08 05:29:46,Shred electrodes,1
22,2020-01-08 08:28:28,Melt down solid materials,1
22,2020-01-09 00:27:45,Collect recyclable materials,1
22,2020-01-09 04:25:22,Dispose of non-reusable materials,1
23,2020-01-06 01:34:00,Battery cell completely discharged,1
23,2020-01-07 01:35:29,Check battery cell for damage,1
23,2020-01-07 03:42:07,Check the capacity of the safety box,1
23,2020-01-07 03:48:04,Place battery cell in safety box,1
24,2020-01-06 05:10:00,Battery cell completely discharged,1
24,2020-01-07 04:46:59,Check battery cell for damage,1
24,2020-01-07 06:35:11,Check the capacity of the safety box,1
24,2020-01-07 06:40:51,Place battery cell in safety box,1
25,2020-01-06 14:26:00,Battery cell completely discharged,1
25,2020-01-07 14:28:09,Check battery cell for damage,1
25,2020-01-07 17:35:48,Open battery cell,1
25,2020-01-07 23:37:36,Collect electrolyte separately,1
25,2020-01-08 05:39:49,Clean electrodes,1
25,2020-01-08 12:14:34,Clean electrodes,1
25,2020-01-08 20:01:34,Shred electrodes,1
25,2020-01-08 23:00:12,Melt down solid materials,1
25,2020-01-09 14:58:30,Collect recyclable materials,1
25,2020-01-09 18:52:04,Dispose of non-reusable materials,1
26,2020-01-06 19:36:00,Battery cell completely discharged,1
26,2020-01-07 19:22:58,Check battery cell for damage,1
26,2020-01-07 22:23:30,Open battery cell,1
26,2020-01-08 04:33:05,Collect electrolyte separately,1
26,2020-01-08 10:29:01,Clean electrodes,1
26,2020-01-08 16:57:43,Clean electrodes,1
26,2020-01-08 23:26:24,Clean electrodes,1
26,2020-01-09 05:55:06,Clean electrodes,1
26,2020-01-09 12:23:47,Clean electrodes,1
26,2020-01-09 18:52:28,Clean electrodes,1
26,2020-01-10 02:50:58,Shred electrodes,1
26,2020-01-10 05:49:58,Melt down solid materials,1
26,2020-01-10 21:52:34,Collect recyclable materials,1
26,2020-01-11 01:56:01,Dispose of non-reusable materials,1
27,2020-01-07 01:09:00,Battery cell completely discharged,1
27,2020-01-08 00:56:55,Check battery cell for damage,1
27,2020-01-08 03:04:04,Check the capacity of the safety box,1
27,2020-01-08 03:10:04,Place battery cell in safety box,1
28,2020-01-07 05:11:00,Battery cell completely discharged,1
28,2020-01-08 05:37:38,Check battery cell for damage,1
28,2020-01-08 08:13:18,Open battery cell,1
28,2020-01-08 14:23:49,Collect electrolyte separately,1
28,2020-01-08 20:27:58,Clean electrodes,1
28,2020-01-09 04:20:24,Shred electrodes,1
28,2020-01-09 07:18:28,Melt down solid materials,1
28,2020-01-09 23:17:30,Collect recyclable materials,1
28,2020-01-10 03:15:49,Dispose of non-reusable materials,1
29,2020-01-07 06:35:00,Battery cell completely discharged,1
29,2020-01-08 06:29:38,Check battery cell for damage,1
29,2020-01-08 09:31:28,Open battery cell,1
29,2020-01-08 15:29:16,Collect electrolyte separately,1
29,2020-01-08 21:28:16,Clean electrodes,1
29,2020-01-09 05:25:16,Shred electrodes,1
29,2020-01-09 08:23:11,Melt down solid materials,1
29,2020-01-10 00:22:26,Collect recyclable materials,1
29,2020-01-10 04:28:08,Dispose of non-reusable materials,1
30,2020-01-07 11:35:00,Battery cell completely discharged,1
30,2020-01-08 11:08:33,Check battery cell for damage,1
30,2020-01-08 14:15:36,Open battery cell,1
30,2020-01-08 20:18:15,Collect electrolyte separately,1
30,2020-01-09 02:09:34,Clean electrodes,1
30,2020-01-09 09:57:30,Shred electrodes,1
30,2020-01-09 12:55:54,Melt down solid materials,1
30,2020-01-10 04:52:56,Collect recyclable materials,1
30,2020-01-10 08:51:54,Dispose of non-reusable materials,1
31,2020-01-07 16:03:00,Battery cell completely discharged,1
31,2020-01-08 16:26:10,Check battery cell for damage,1
31,2020-01-08 18:28:27,Check the capacity of the safety box,1
31,2020-01-08 18:34:12,Place battery cell in safety box,1
32,2020-01-08 00:06:00,Battery cell completely discharged,1
32,2020-01-08 23:49:15,Check battery cell for damage,1
32,2020-01-09 02:50:00,Open battery cell,1
32,2020-01-09 08:41:20,Collect electrolyte separately,1
32,2020-01-09 14:45:38,Clean electrodes,1
32,2020-01-09 22:39:28,Shred electrodes,1
32,2020-01-10 01:38:42,Melt down solid materials,1
32,2020-01-10 17:38:02,Collect recyclable materials,1
32,2020-01-10 21:34:58,Dispose of non-reusable materials,1
33,2020-01-08 01:41:00,Battery cell completely discharged,1
33,2020-01-09 01:54:28,Check battery cell for damage,1
33,2020-01-09 04:56:33,Open battery cell,1
33,2020-01-09 11:06:06,Collect electrolyte separately,1
33,2020-01-09 17:00:00,Clean electrodes,1
33,2020-01-10 01:19:43,Shred electrodes,1
33,2020-01-10 04:18:12,Melt down solid materials,1
33,2020-01-10 20:19:15,Collect recyclable materials,1
33,2020-01-11 00:19:42,Dispose of non-reusable materials,1
34,2020-01-08 07:11:00,Battery cell completely discharged,1
34,2020-01-09 07:41:52,Check battery cell for damage,1
34,2020-01-09 10:51:36,Open battery cell,1
34,2020-01-09 17:00:52,Collect electrolyte separately,1
34,2020-01-09 22:55:28,Clean electrodes,1
34,2020-01-10 07:10:25,Shred electrodes,1
34,2020-01-10 10:09:41,Melt down solid materials,1
34,2020-01-11 02:08:06,Collect recyclable materials,1
34,2020-01-11 06:08:55,Dispose of non-reusable materials,1
35,2020-01-08 14:08:00,Battery cell completely discharged,1
35,2020-01-09 13:49:28,Check battery cell for damage,1
35,2020-01-09 16:06:46,Check the capacity of the safety box,1
35,2020-01-09 16:12:33,Place battery cell in safety box,1
36,2020-01-08 17:16:00,Battery cell completely discharged,1
36,2020-01-09 16:55:22,Check battery cell for damage,1
36,2020-01-09 19:54:42,Open battery cell,1
36,2020-01-10 01:54:51,Collect electrolyte separately,1
36,2020-01-10 07:41:43,Clean electrodes,1
36,2020-01-10 14:12:54,Clean electrodes,1
36,2020-01-10 22:17:17,Shred electrodes,1
36,2020-01-11 01:15:07,Melt down solid materials,1
36,2020-01-11 17:14:06,Collect recyclable materials,1
36,2020-01-11 21:13:09,Dispose of non-reusable materials,1
37,2020-01-08 18:06:00,Battery cell completely discharged,1
37,2020-01-09 18:00:45,Check battery cell for damage,1
37,2020-01-09 20:53:49,Open battery cell,1
37,2020-01-10 03:04:54,Collect electrolyte separately,1
37,2020-01-10 09:04:31,Clean electrodes,1
37,2020-01-10 15:28:54,Clean electrodes,1
37,2020-01-10 23:27:50,Shred electrodes,1
37,2020-01-11 02:24:15,Melt down solid materials,1
37,2020-01-11 18:26:10,Collect recyclable materials,1
37,2020-01-11 22:22:13,Dispose of non-reusable materials,1
38,2020-01-08 21:38:00,Battery cell completely discharged,1
38,2020-01-09 21:47:22,Check battery cell for damage,1
38,2020-01-10 00:41:53,Open battery cell,1
38,2020-01-10 06:41:51,Collect electrolyte separately,1
38,2020-01-10 12:38:51,Clean electrodes,1
38,2020-01-10 20:34:55,Shred electrodes,1
38,2020-01-10 23:31:57,Melt down solid materials,1
38,2020-01-11 15:33:42,Collect recyclable materials,1
38,2020-01-11 19:35:00,Dispose of non-reusable materials,1
39,2020-01-09 03:30:00,Battery cell completely discharged,1
39,2020-01-10 03:55:01,Check battery cell for damage,1
39,2020-01-10 06:50:00,Open battery cell,1
39,2020-01-10 12:58:32,Collect electrolyte separately,1
39,2020-01-10 18:53:16,Clean electrodes,1
39,2020-01-11 02:55:47,Shred electrodes,1
39,2020-01-11 05:52:06,Melt down solid materials,1
39,2020-01-11 21:53:53,Collect recyclable materials,1
39,2020-01-12 01:49:25,Dispose of non-reusable materials,1
40,2020-01-09 07:37:00,Battery cell completely discharged,1
40,2020-01-10 08:00:48,Check battery cell for damage,1
40,2020-01-10 10:54:53,Open battery cell,1
40,2020-01-10 16:58:31,Collect electrolyte separately,1
40,2020-01-10 22:55:52,Clean electrodes,1
40,2020-01-11 05:23:35,Clean electrodes,1
40,2020-01-11 13:26:45,Shred electrodes,1
40,2020-01-11 16:25:55,Melt down solid materials,1
40,2020-01-12 08:23:45,Collect recyclable materials,1
40,2020-01-12 12:21:02,Dispose of non-reusable materials,1
41,2020-01-09 09:03:00,Battery cell completely discharged,1
41,2020-01-10 08:58:10,Check battery cell for damage,1
41,2020-01-10 12:10:55,Open battery cell,1
41,2020-01-10 18:11:19,Collect electrolyte separately,1
41,2020-01-11 00:14:40,Clean electrodes,1
41,2020-01-11 08:50:55,Shred electrodes,1
41,2020-01-11 11:51:49,Melt down solid materials,1
41,2020-01-12 03:52:22,Collect recyclable materials,1
41,2020-01-12 07:52:10,Dispose of non-reusable materials,1
42,2020-01-09 11:04:00,Battery cell completely discharged,1
42,2020-01-10 11:25:00,Check battery cell for damage,1
42,2020-01-10 14:28:33,Open battery cell,1
42,2020-01-10 20:18:51,Collect electrolyte separately,1
42,2020-01-11 02:23:47,Clean electrodes,1
42,2020-01-11 08:52:00,Clean electrodes,1
42,2020-01-11 16:49:38,Shred electrodes,1
42,2020-01-11 19:48:35,Melt down solid materials,1
42,2020-01-12 11:47:41,Collect recyclable materials,1
42,2020-01-12 15:46:34,Dispose of non-reusable materials,1
43,2020-01-09 14:28:00,Battery cell completely discharged,1
43,2020-01-10 14:56:06,Check battery cell for damage,1
43,2020-01-10 17:56:48,Open battery cell,1
43,2020-01-11 00:00:12,Collect electrolyte separately,1
43,2020-01-11 06:01:20,Clean electrodes,1
43,2020-01-11 12:26:54,Clean electrodes,1
43,2020-01-11 18:52:27,Clean electrodes,1
43,2020-01-12 02:46:07,Shred electrodes,1
43,2020-01-12 05:44:24,Melt down solid materials,1
43,2020-01-12 21:43:48,Collect recyclable materials,1
43,2020-01-13 01:45:37,Dispose of non-reusable materials,1
44,2020-01-09 21:01:00,Battery cell completely discharged,1
44,2020-01-10 20:55:24,Check battery cell for damage,1
44,2020-01-10 23:18:15,Check the capacity of the safety box,1
44,2020-01-10 23:24:12,Place battery cell in safety box,1
45,2020-01-10 00:00:00,Battery cell completely discharged,1
45,2020-01-11 00:06:04,Check battery cell for damage,1
45,2020-01-11 03:02:03,Open battery cell,1
45,2020-01-11 09:10:23,Collect electrolyte separately,1
45,2020-01-11 15:11:29,Clean electrodes,1
45,2020-01-11 23:12:25,Shred electrodes,1
45,2020-01-12 02:12:25,Melt down solid materials,1
45,2020-01-12 18:13:16,Collect recyclable materials,1
45,2020-01-12 22:08:30,Dispose of non-reusable materials,1
46,2020-01-10 09:48:00,Battery cell completely discharged,1
46,2020-01-11 09:42:02,Check battery cell for damage,1
46,2020-01-11 12:42:59,Open battery cell,1
46,2020-01-11 19:03:35,Collect electrolyte separately,1
46,2020-01-12 00:57:26,Clean electrodes,1
46,2020-01-12 09:08:59,Shred electrodes,1
46,2020-01-12 12:14:28,Melt down solid materials,1
46,2020-01-13 04:14:03,Collect recyclable materials,1
46,2020-01-13 08:12:20,Dispose of non-reusable materials,1
47,2020-01-10 15:50:00,Battery cell completely discharged,1
47,2020-01-11 16:06:30,Check battery cell for damage,1
47,2020-01-11 18:07:21,Check the capacity of the safety box,1
47,2020-01-11 18:13:36,Place battery cell in safety box,1
48,2020-01-10 20:38:00,Battery cell completely discharged,1
48,2020-01-11 19:54:58,Check battery cell for damage,1
48,2020-01-11 22:49:36,Open battery cell,1
48,2020-01-12 04:59:56,Collect electrolyte separately,1
48,2020-01-12 10:55:34,Clean electrodes,1
48,2020-01-12 19:10:15,Shred electrodes,1
48,2020-01-12 22:11:21,Melt down solid materials,1
48,2020-01-13 14:08:48,Collect recyclable materials,1
48,2020-01-13 18:11:22,Dispose of non-reusable materials,1
49,2020-01-11 05:42:00,Battery cell completely discharged,1
49,2020-01-12 05:37:33,Check battery cell for damage,1
49,2020-01-12 08:17:33,Open battery cell,1
49,2020-01-12 14:33:22,Collect electrolyte separately,1
49,2020-01-12 20:26:38,Clean electrodes,1
49,2020-01-13 04:42:43,Shred electrodes,1
49,2020-01-13 07:38:49,Melt down solid materials,1
49,2020-01-13 23:36:07,Collect recyclable materials,1
49,2020-01-14 03:36:13,Dispose of non-reusable materials,1
50,2020-01-11 08:41:00,Battery cell completely discharged,1
50,2020-01-12 08:54:15,Check battery cell for damage,1
50,2020-01-12 12:09:55,Open battery cell,1
50,2020-01-12 18:09:02,Collect electrolyte separately,1
50,2020-01-13 00:06:04,Clean electrodes,1
50,2020-01-13 08:15:27,Shred electrodes,1
50,2020-01-13 11:15:43,Melt down solid materials,1
50,2020-01-14 03:17:10,Collect recyclable materials,1
50,2020-01-14 07:19:38,Dispose of non-reusable materials,1
51,2020-01-11 13:45:00,Battery cell completely discharged,1
51,2020-01-12 13:32:37,Check battery cell for damage,1
51,2020-01-12 16:34:41,Open battery cell,1
51,2020-01-12 22:45:03,Collect electrolyte separately,1
51,2020-01-13 04:48:06,Clean electrodes,1
51,2020-01-13 12:36:42,Shred electrodes,1
51,2020-01-13 15:37:26,Melt down solid materials,1
51,2020-01-14 07:34:27,Collect recyclable materials,1
51,2020-01-14 11:35:25,Dispose of non-reusable materials,1
52,2020-01-11 21:07:00,Battery cell completely discharged,1
52,2020-01-12 20:56:15,Check battery cell for damage,1
52,2020-01-13 00:12:46,Open battery cell,1
52,2020-01-13 06:06:39,Collect electrolyte separately,1
52,2020-01-13 12:08:49,Clean electrodes,1
52,2020-01-13 18:40:57,Clean electrodes,1
52,2020-01-14 02:35:50,Shred electrodes,1
52,2020-01-14 05:35:52,Melt down solid materials,1
52,2020-01-14 21:37:52,Collect recyclable materials,1
52,2020-01-15 01:33:19,Dispose of non-reusable materials,1
53,2020-01-12 03:02:00,Battery cell completely discharged,1
53,2020-01-13 02:43:04,Check battery cell for damage,1
53,2020-01-13 04:57:06,Check the capacity of the safety box,1
53,2020-01-13 05:03:13,Place battery cell in safety box,1
54,2020-01-12 06:27:00,Battery cell completely discharged,1
54,2020-01-13 07:01:44,Check battery cell for damage,1
54,2020-01-13 10:08:43,Open battery cell,1
54,2020-01-13 16:01:01,Collect electrolyte separately,1
54,2020-01-13 22:03:45,Clean electrodes,1
54,2020-01-14 06:05:39,Shred electrodes,1
54,2020-01-14 09:02:30,Melt down solid materials,1
54,2020-01-15 01:02:40,Collect recyclable materials,1
54,2020-01-15 05:02:50,Dispose of non-reusable materials,1
55,2020-01-12 12:35:00,Battery cell completely discharged,1
55,2020-01-13 12:32:10,Check battery cell for damage,1
55,2020-01-13 15:26:07,Open battery cell,1
55,2020-01-13 21:39:06,Collect electrolyte separately,1
55,2020-01-14 03:42:31,Clean electrodes,1
55,2020-01-14 11:38:37,Shred electrodes,1
55,2020-01-14 14:40:34,Melt down solid materials,1
55,2020-01-15 06:43:34,Collect recyclable materials,1
55,2020-01-15 10:42:58,Dispose of non-reusable materials,1
56,2020-01-12 19:00:00,Battery cell completely discharged,1
56,2020-01-13 18:38:29,Check battery cell for damage,1
56,2020-01-13 21:41:48,Open battery cell,1
56,2020-01-14 03:45:48,Collect electrolyte separately,1
56,2020-01-14 09:41:33,Clean electrodes,1
56,2020-01-14 16:08:08,Clean electrodes,1
56,2020-01-15 00:24:09,Shred electrodes,1
56,2020-01-15 03:26:40,Melt down solid materials,1
56,2020-01-15 19:29:22,Collect recyclable materials,1
56,2020-01-15 23:31:39,Dispose of non-reusable materials,1
57,2020-01-13 04:48:00,Battery cell completely discharged,1
57,2020-01-14 04:43:52,Check battery cell for damage,1
57,2020-01-14 07:39:27,Open battery cell,1
57,2020-01-14 13:53:00,Collect electrolyte separately,1
57,2020-01-14 19:57:11,Clean electrodes,1
57,2020-01-15 03:57:51,Shred electrodes,1
57,2020-01-15 06:55:59,Melt down solid materials,1
57,2020-01-15 22:57:25,Collect recyclable materials,1
57,2020-01-16 02:58:28,Dispose of non-reusable materials,1
58,2020-01-13 09:58:00,Battery cell completely discharged,1
58,2020-01-14 10:05:23,Check battery cell for damage,1
58,2020-01-14 12:00:11,Check the capacity of the safety box,1
58,2020-01-14 12:06:28,Place battery cell in safety box,1
59,2020-01-13 13:16:00,Battery cell completely discharged,1
59,2020-01-14 13:18:46,Check battery cell for damage,1
59,2020-01-14 16:20:07,Open battery cell,1
59,2020-01-14 22:26:45,Collect electrolyte separately,1
59,2020-01-15 04:19:07,Clean electrodes,1
59,2020-01-15 10:48:42,Clean electrodes,1
59,2020-01-15 18:37:46,Shred electrodes,1
59,2020-01-15 21:35:41,Melt down solid materials,1
59,2020-01-16 13:31:40,Collect recyclable materials,1
59,2020-01-16 17:33:58,Dispose of non-reusable materials,1
60,2020-01-13 20:19:00,Battery cell completely discharged,1
60,2020-01-14 20:36:33,Check battery cell for damage,1
60,2020-01-14 22:45:03,Check the capacity of the safety box,1
60,2020-01-14 22:51:00,Place battery cell in safety box,1
61,2020-01-13 21:48:00,Battery cell completely discharged,1
61,2020-01-14 21:52:09,Check battery cell for damage,1
61,2020-01-15 00:50:14,Open battery cell,1
61,2020-01-15 06:56:06,Collect electrolyte separately,1
61,2020-01-15 13:01:51,Clean electrodes,1
61,2020-01-15 21:16:55,Shred electrodes,1
61,2020-01-16 00:16:25,Melt down solid materials,1
61,2020-01-16 16:13:38,Collect recyclable materials,1
61,2020-01-16 20:10:32,Dispose of non-reusable materials,1
62,2020-01-14 03:24:00,Battery cell completely discharged,1
62,2020-01-15 03:19:54,Check battery cell for damage,1
62,2020-01-15 05:26:44,Check the capacity of the safety box,1
62,2020-01-15 05:32:23,Place battery cell in safety box,1
63,2020-01-14 07:02:00,Battery cell completely discharged,1
63,2020-01-15 06:48:13,Check battery cell for damage,1
63,2020-01-15 08:46:06,Check the capacity of the safety box,1
63,2020-01-15 08:51:05,Seal full safety box,1
63,2020-01-15 08:56:33,Store safety box,1
63,2020-01-15 09:12:18,Prepare new safety box,1
63,2020-01-15 09:33:49,Place battery cell in safety box,1
64,2020-01-14 10:12:00,Battery cell completely discharged,1
64,2020-01-15 09:53:48,Check battery cell for damage,1
64,2020-01-15 13:06:18,Open battery cell,1
64,2020-01-15 19:22:01,Collect electrolyte separately,1
64,2020-01-16 01:22:28,Clean electrodes,1
